ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2015-01-01,34111.5969500626,5083.037258333742,23579.140198811583,34111.5969500626,34111.5969500626,-19926.363005013478,-19926.363005013478,-19926.363005013478,-19926.363005013478,-19926.363005013478,-19926.363005013478,0.0,0.0,0.0,14185.233945049124
2015-02-01,34551.87225917355,-5025.835658278545,13665.410458533826,34551.87225917355,34551.87225917355,-29892.254612044206,-29892.254612044206,-29892.254612044206,-29892.254612044206,-29892.254612044206,-29892.254612044206,0.0,0.0,0.0,4659.617647129344
2015-03-01,34949.5402797841,42349.77539964411,60837.11159292548,34949.5402797841,34949.5402797841,16444.85900389061,16444.85900389061,16444.85900389061,16444.85900389061,16444.85900389061,16444.85900389061,0.0,0.0,0.0,51394.39928367471
2015-04-01,35389.81558831721,11830.56521939907,30002.19760693419,35389.81558831721,35389.81558831721,-14619.18092301734,-14619.18092301734,-14619.18092301734,-14619.18092301734,-14619.18092301734,-14619.18092301734,0.0,0.0,0.0,20770.63466529987
2015-05-01,35815.8884680139,13026.483886149616,32013.05340185214,35815.8884680139,35815.8884680139,-13154.66226823655,-13154.66226823655,-13154.66226823655,-13154.66226823655,-13154.66226823655,-13154.66226823655,0.0,0.0,0.0,22661.226199777353
2015-06-01,36256.16377633505,21453.98833652728,39373.72510738803,36256.16377633505,36256.16377633505,-6277.680799979246,-6277.680799979246,-6277.680799979246,-6277.680799979246,-6277.680799979246,-6277.680799979246,0.0,0.0,0.0,29978.482976355805
2015-07-01,36682.23665535552,16748.46005403471,34578.21832351556,36682.23665535552,36682.23665535552,-10761.679157779514,-10761.679157779514,-10761.679157779514,-10761.679157779514,-10761.679157779514,-10761.679157779514,0.0,0.0,0.0,25920.557497576003
2015-08-01,37122.511963850666,16686.66602728719,35682.874503937936,37122.511963850666,37122.511963850666,-11634.392717949442,-11634.392717949442,-11634.392717949442,-11634.392717949442,-11634.392717949442,-11634.392717949442,0.0,0.0,0.0,25488.119245901224
2015-09-01,37562.78727183756,62102.137107389986,80448.32989198164,37562.78727183756,37562.78727183756,33564.70246179704,33564.70246179704,33564.70246179704,33564.70246179704,33564.70246179704,33564.70246179704,0.0,0.0,0.0,71127.4897336346
2015-10-01,37988.86015053455,28762.9257377971,47813.660462940934,37988.86015053455,37988.86015053455,207.43090625711673,207.43090625711673,207.43090625711673,207.43090625711673,207.43090625711673,207.43090625711673,0.0,0.0,0.0,38196.29105679167
2015-11-01,38429.135458568,71459.1058215172,90591.72348754118,38429.135458568,38429.135458568,42306.604347461165,42306.604347461165,42306.604347461165,42306.604347461165,42306.604347461165,42306.604347461165,0.0,0.0,0.0,80735.73980602916
2015-12-01,38855.20833854098,54326.04136950267,71994.85586873621,38855.20833854098,38855.20833854098,24119.445921329534,24119.445921329534,24119.445921329534,24119.445921329534,24119.445921329534,24119.445921329534,0.0,0.0,0.0,62974.65425987051
2016-01-01,39295.483647846406,9604.406259797604,28760.48228888191,39295.483647846406,39295.483647846406,-20446.150861341914,-20446.150861341914,-20446.150861341914,-20446.150861341914,-20446.150861341914,-20446.150861341914,0.0,0.0,0.0,18849.332786504492
2016-02-01,39735.75895821239,-1516.1108076637074,17776.15315807429,39735.75895821239,39735.75895821239,-31606.93965407151,-31606.93965407151,-31606.93965407151,-31606.93965407151,-31606.93965407151,-31606.93965407151,0.0,0.0,0.0,8128.819304140881
2016-03-01,40147.923887471734,24834.537990736695,43819.251422836656,40147.923887471734,40147.923887471734,-6262.741284027521,-6262.741284027521,-6262.741284027521,-6262.741284027521,-6262.741284027521,-6262.741284027521,0.0,0.0,0.0,33885.18260344421
2016-04-01,40588.5139842662,24567.190075429633,42692.97614216166,40588.5139842662,40588.5139842662,-7103.442544930591,-7103.442544930591,-7103.442544930591,-7103.442544930591,-7103.442544930591,-7103.442544930591,0.0,0.0,0.0,33485.07143933561
2016-05-01,41014.892196328685,30115.71221261164,49731.206805170994,41014.892196328685,41014.892196328685,-601.6467130071588,-601.6467130071588,-601.6467130071588,-601.6467130071588,-601.6467130071588,-601.6467130071588,0.0,0.0,0.0,40413.24548332152
2016-06-01,41456.49195932026,19296.74170485471,37943.983219632544,41456.49195932026,41456.49195932026,-12741.116385478088,-12741.116385478088,-12741.116385478088,-12741.116385478088,-12741.116385478088,-12741.116385478088,0.0,0.0,0.0,28715.375573842168
2016-07-01,41883.84656866695,23269.543998599085,42025.87300765924,41883.84656866695,41883.84656866695,-9624.423084274256,-9624.423084274256,-9624.423084274256,-9624.423084274256,-9624.423084274256,-9624.423084274256,0.0,0.0,0.0,32259.423484392697
2016-08-01,42326.95130460788,29430.114398125672,47527.616221746764,42326.95130460788,42326.95130460788,-3937.9257145331826,-3937.9257145331826,-3937.9257145331826,-3937.9257145331826,-3937.9257145331826,-3937.9257145331826,0.0,0.0,0.0,38389.0255900747
2016-09-01,42770.963228031294,54320.4009703099,73091.31708431251,42770.963228031294,42770.963228031294,21033.24204470395,21033.24204470395,21033.24204470395,21033.24204470395,21033.24204470395,21033.24204470395,0.0,0.0,0.0,63804.20527273524
2016-10-01,43200.652186183004,36578.80039430693,55760.98368549233,43200.652186183004,43200.652186183004,2893.5786362184867,2893.5786362184867,2893.5786362184867,2893.5786362184867,2893.5786362184867,2893.5786362184867,0.0,0.0,0.0,46094.23082240149
2016-11-01,43923.15460985356,69312.63723104355,88260.4589743561,43923.15460985356,43923.15460985356,34761.99551136635,34761.99551136635,34761.99551136635,34761.99551136635,34761.99551136635,34761.99551136635,0.0,0.0,0.0,78685.15012121992
2016-12-01,44623.36136249192,72026.00716953717,90160.64031725469,44623.36136249192,44623.36136249192,37365.11197793845,37365.11197793845,37365.11197793845,37365.11197793845,37365.11197793845,37365.11197793845,0.0,0.0,0.0,81988.47334043038
2017-01-01,45346.90834021823,17131.870085251692,35860.610588123476,45346.90834021823,45346.90834021823,-18667.281341078266,-18667.281341078266,-18667.281341078266,-18667.281341078266,-18667.281341078266,-18667.281341078266,0.0,0.0,0.0,26679.626999139964
2017-02-01,46071.23171499622,10489.855255672754,29454.093118014873,46071.23171499622,46071.23171499622,-26066.660716603248,-26066.660716603248,-26066.660716603248,-26066.660716603248,-26066.660716603248,-26066.660716603248,0.0,0.0,0.0,20004.57099839297
2017-03-01,46726.59855803262,38883.132032968,57148.135658539235,46726.59855803262,46726.59855803262,1358.5184029096572,1358.5184029096572,1358.5184029096572,1358.5184029096572,1358.5184029096572,1358.5184029096572,0.0,0.0,0.0,48085.11696094228
2017-04-01,47452.18327710865,29219.109703395538,46847.48345008056,47452.18327710865,47452.18327710865,-9449.785440994829,-9449.785440994829,-9449.785440994829,-9449.785440994829,-9449.785440994829,-9449.785440994829,0.0,0.0,0.0,38002.39783611382
2017-05-01,48155.51524936171,33245.511859084814,52814.291437491556,48155.51524936171,48155.51524936171,-4814.6227839768435,-4814.6227839768435,-4814.6227839768435,-4814.6227839768435,-4814.6227839768435,-4814.6227839768435,0.0,0.0,0.0,43340.892465384866
2017-06-01,48882.29321685812,28854.309724670115,47662.33113638369,48882.29321685812,48882.29321685812,-10639.867039990439,-10639.867039990439,-10639.867039990439,-10639.867039990439,-10639.867039990439,-10639.867039990439,0.0,0.0,0.0,38242.42617686768
2017-07-01,49585.626733790115,30170.75826051068,49526.3864773359,49585.626733790115,49585.626733790115,-9984.275330945033,-9984.275330945033,-9984.275330945033,-9984.275330945033,-9984.275330945033,-9984.275330945033,0.0,0.0,0.0,39601.35140284508
